사용일,구분,역명,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00
토요일,외선순환,아현,0,0,0,0,0,11,10,12,19,24,33,40,56,56,67,72,64,77,78,65,68,61,56,69,0,0
일요일,내선순환,아현,0,0,0,0,0,25,14,18,32,33,37,43,54,50,49,46,53,44,42,35,33,37,36,35,0,0
일요일,외선순환,아현,0,0,0,0,0,7,8,7,15,21,26,35,45,50,47,54,50,59,57,44,39,34,34,28,0,0
평일,신도림,양천구청,8,0,0,0,0,8,11,14,19,13,11,10,11,13,13,15,19,26,50,47,27,28,27,25,8,0
평일,까치산,양천구청,2,0,0,0,0,27,32,75,94,48,27,20,21,18,15,15,15,21,25,16,10,8,8,6,2,0
토요일,신도림,양천구청,0,0,0,0,0,5,8,7,11,11,11,12,15,16,18,20,24,26,26,22,18,21,22,22,0,0
토요일,까치산,양천구청,0,0,0,0,0,22,18,17,26,31,28,28,30,30,24,22,21,24,18,13,9,8,8,6,0,0
일요일,신도림,양천구청,0,0,0,0,0,4,5,4,6,8,10,9,10,11,12,15,19,21,19,18,15,15,17,14,0,0
일요일,까치산,양천구청,0,0,0,0,0,14,11,10,17,24,24,23,23,23,20,17,17,16,12,10,9,7,7,4,0,0
평일,내선순환,역삼,22,0,0,0,0,23,23,47,76,54,46,47,54,64,64,75,77,94,129,90,63,84,81,36,22,0
평일,외선순환,역삼,22,0,0,0,0,60,36,62,92,68,47,49,52,59,52,56,61,57,88,74,58,72,76,56,22,0
토요일,내선순환,역삼,0,0,0,0,0,30,16,18,27,39,46,57,70,75,75,74,80,85,85,56,61,66,65,60,0,0
토요일,외선순환,역삼,0,0,0,0,0,45,31,27,45,52,66,67,71,91,75,78,72,58,47,46,40,47,52,61,0,0
일요일,내선순환,역삼,0,0,0,0,0,16,14,14,21,35,35,40,49,54,57,61,72,61,64,50,48,46,46,32,0,0
일요일,외선순환,역삼,0,0,0,0,0,28,18,18,36,46,46,59,58,62,57,53,49,50,46,38,34,34,31,30,0,0
평일,내선순환,영등포구청,17,0,0,0,0,29,34,74,130,72,60,56,56,57,53,46,50,52,71,58,37,46,43,36,17,0
평일,외선순환,영등포구청,22,0,0,0,0,35,48,82,100,39,36,41,42,49,47,50,58,73,110,75,67,78,94,60,22,0
토요일,내선순환,영등포구청,0,0,0,0,0,18,25,26,46,52,56,62,74,77,78,62,68,67,60,45,44,41,51,48,0,0
토요일,외선순환,영등포구청,0,0,0,0,0,41,32,26,35,39,49,55,62,63,71,73,63,75,65,54,66,69,84,96,0,0
일요일,내선순환,영등포구청,0,0,0,0,0,12,15,21,39,43,50,52,64,66,65,60,56,58,51,40,31,31,32,30,0,0
일요일,외선순환,영등포구청,0,0,0,0,0,43,30,17,26,41,43,44,48,51,50,53,59,66,62,55,48,56,53,40,0,0
평일,내선순환,왕십리,12,0,0,0,0,22,23,39,78,38,31,36,37,42,42,43,43,49,57,42,26,35,40,33,12,0
평일,외선순환,왕십리,14,0,0,0,0,14,19,54,76,44,38,43,41,41,40,41,39,42,64,49,47,41,51,28,14,0
토요일,내선순환,왕십리,0,0,0,0,0,18,20,19,39,29,32,48,56,51,51,60,50,50,44,34,36,37,44,39,0,0
토요일,외선순환,왕십리,0,0,0,0,0,15,14,18,31,36,41,62,62,62,66,65,45,55,58,42,38,38,40,46,0,0
일요일,내선순환,왕십리,0,0,0,0,0,13,12,13,38,26,24,37,42,43,53,49,47,47,45,35,29,29,26,25,0,0
일요일,외선순환,왕십리,0,0,0,0,0,10,10,10,23,30,31,61,52,51,47,59,39,44,53,34,30,30,29,28,0,0
평일,성수,용답,1,0,0,0,0,12,11,19,41,20,10,10,9,11,9,11,12,16,17,10,6,5,5,3,1,0
평일,신설동,용답,3,0,0,0,0,3,4,8,21,14,11,10,10,11,10,11,14,17,23,16,13,13,11,7,3,0
토요일,성수,용답,0,0,0,0,0,8,7,9,14,12,12,13,13,14,13,14,15,15,14,7,5,4,4,2,0,0
토요일,신설동,용답,0,0,0,0,0,1,4,5,8,8,10,12,15,16,13,11,15,14,13,9,9,10,11,6,0,0
일요일,성수,용답,0,0,0,0,0,5,4,4,6,8,9,9,11,12,11,13,11,15,11,5,4,2,2,1,0,0
일요일,신설동,용답,0,0,0,0,0,2,2,4,5,6,10,11,12,14,12,9,9,10,8,8,8,8,9,6,0,0
평일,성수,용두,1,0,0,0,0,6,6,10,23,11,8,9,8,12,9,10,13,17,17,10,7,7,6,4,1,0
평일,신설동,용두,1,0,0,0,0,3,4,8,19,13,9,8,8,10,8,9,10,14,15,9,8,8,7,4,1,0
토요일,성수,용두,0,0,0,0,0,5,4,5,8,7,8,10,10,11,11,14,14,16,15,7,5,4,4,3,0,0
토요일,신설동,용두,0,0,0,0,0,2,3,5,7,8,10,10,11,14,11,10,12,11,10,7,5,7,8,3,0,0
일요일,성수,용두,0,0,0,0,0,2,3,3,4,5,7,7,9,10,9,12,12,14,12,6,5,3,3,2,0,0
일요일,신설동,용두,0,0,0,0,0,2,2,4,4,6,9,10,11,13,11,8,7,8,6,6,6,6,6,4,0,0
평일,내선순환,을지로3가,12,0,0,0,0,13,18,27,54,31,28,34,33,40,39,41,44,47,67,49,35,50,51,44,12,0
평일,외선순환,을지로3가,13,0,0,0,0,13,19,50,73,38,33,39,36,39,38,39,39,45,72,47,40,37,44,25,13,0
토요일,내선순환,을지로3가,0,0,0,0,0,17,16,16,28,23,31,35,44,48,48,48,53,52,47,37,44,49,59,56,0,0
토요일,외선순환,을지로3가,0,0,0,0,0,12,12,14,23,31,39,48,59,59,70,68,55,63,61,47,43,37,35,39,0,0
일요일,내선순환,을지로3가,0,0,0,0,0,15,10,12,27,22,21,31,35,36,40,40,45,42,44,38,38,37,34,36,0,0
일요일,외선순환,을지로3가,0,0,0,0,0,6,8,9,19,28,28,40,47,50,45,51,42,50,45,31,25,23,22,21,0,0
평일,내선순환,을지로4가,12,0,0,0,0,13,16,25,49,27,26,31,31,39,38,41,43,47,69,50,35,48,50,42,12,0
평일,외선순환,을지로4가,13,0,0,0,0,14,21,54,73,40,32,38,33,35,34,35,34,40,59,39,35,33,40,24,13,0
토요일,내선순환,을지로4가,0,0,0,0,0,16,15,15,25,22,28,33,42,46,46,46,52,52,47,36,43,47,57,53,0,0
토요일,외선순환,을지로4가,0,0,0,0,0,14,14,15,25,31,37,46,57,52,59,58,45,55,52,40,37,33,33,37,0,0
일요일,내선순환,을지로4가,0,0,0,0,0,15,10,11,27,21,21,30,34,34,38,39,42,41,43,37,37,36,32,34,0,0
일요일,외선순환,을지로4가,0,0,0,0,0,7,9,9,19,30,29,41,45,46,42,49,38,44,41,28,23,22,21,20,0,0
평일,내선순환,을지로입구,12,0,0,0,0,15,19,34,66,37,31,39,37,45,43,46,47,49,69,50,36,52,52,42,12,0
평일,외선순환,을지로입구,18,0,0,0,0,8,14,37,48,30,27,34,33,38,37,39,41,49,86,57,57,50,58,36,18,0
토요일,내선순환,을지로입구,0,0,0,0,0,18,17,19,29,25,35,38,50,54,53,52,60,60,53,42,51,56,64,61,0,0
토요일,외선순환,을지로입구,0,0,0,0,0,8,11,12,19,24,32,41,51,55,67,69,57,67,67,55,60,51,46,54,0,0
일요일,내선순환,을지로입구,0,0,0,0,0,16,12,14,27,26,27,35,39,42,44,43,49,44,46,39,40,41,38,37,0,0
일요일,외선순환,을지로입구,0,0,0,0,0,4,8,7,15,21,24,34,42,45,43,51,44,52,51,39,36,32,30,27,0,0
평일,내선순환,이대,10,0,0,0,0,23,28,61,114,54,41,46,43,49,44,42,42,44,46,34,26,38,42,37,10,0
평일,외선순환,이대,19,0,0,0,0,15,14,27,37,22,23,33,34,39,42,44,47,58,104,70,65,61,66,45,19,0
토요일,내선순환,이대,0,0,0,0,0,28,22,23,35,36,47,50,62,65,59,52,58,54,43,36,37,42,63,60,0,0
토요일,외선순환,이대,0,0,0,0,0,12,11,12,17,22,30,37,53,53,65,70,64,77,78,63,68,62,56,67,0,0
일요일,내선순환,이대,0,0,0,0,0,26,14,18,31,32,38,44,51,49,49,45,53,44,42,35,33,36,37,36,0,0
일요일,외선순환,이대,0,0,0,0,0,8,8,7,15,21,24,33,41,45,46,53,52,60,57,44,39,34,34,27,0,0
평일,내선순환,잠실,12,0,0,0,0,22,24,60,113,68,43,41,42,47,40,46,44,46,52,37,30,37,35,17,12,0
평일,외선순환,잠실,14,0,0,0,0,16,17,33,38,24,22,29,31,33,33,38,40,48,63,55,44,53,58,33,14,0
토요일,내선순환,잠실,0,0,0,0,0,23,15,19,31,46,50,58,62,59,56,50,51,53,50,34,39,40,39,43,0,0
토요일,외선순환,잠실,0,0,0,0,0,23,15,16,28,20,26,31,40,48,48,54,55,49,47,45,39,45,43,36,0,0
일요일,내선순환,잠실,0,0,0,0,0,12,11,13,25,38,36,43,43,46,44,43,39,46,47,35,33,31,32,26,0,0
일요일,외선순환,잠실,0,0,0,0,0,12,10,12,21,19,20,28,36,37,41,43,46,42,41,36,34,32,28,19,0,0
평일,내선순환,잠실나루,17,0,0,0,0,19,22,41,81,51,31,35,37,39,35,43,41,37,44,33,26,32,34,23,17,0
평일,외선순환,잠실나루,12,0,0,0,0,18,17,37,41,25,23,29,32,34,34,39,42,48,64,54,43,50,55,31,12,0
토요일,내선순환,잠실나루,0,0,0,0,0,15,17,16,26,41,42,52,56,51,47,46,43,42,40,29,30,32,34,54,0,0
토요일,외선순환,잠실나루,0,0,0,0,0,24,16,17,29,21,29,31,42,50,49,56,54,50,49,42,38,44,42,34,0,0
일요일,내선순환,잠실나루,0,0,0,0,0,10,10,11,24,34,31,40,38,40,37,39,33,39,42,29,26,24,27,30,0,0
일요일,외선순환,잠실나루,0,0,0,0,0,13,10,12,22,20,20,30,37,39,40,44,46,42,40,36,33,31,28,19,0,0
평일,내선순환,종합운동장,11,0,0,0,0,27,25,62,117,70,43,42,41,46,40,44,43,46,51,35,28,35,35,18,11,0
평일,외선순환,종합운동장,23,0,0,0,0,15,24,27,33,24,21,30,35,38,39,44,49,53,86,74,56,68,74,51,23,0
토요일,내선순환,종합운동장,0,0,0,0,0,31,15,18,30,47,49,59,61,61,56,50,49,54,50,34,37,40,39,40,0,0
토요일,외선순환,종합운동장,0,0,0,0,0,13,24,16,24,25,29,36,43,55,52,62,62,54,51,45,38,46,48,50,0,0
일요일,내선순환,종합운동장,0,0,0,0,0,14,11,12,22,38,37,43,47,48,44,42,39,43,43,34,32,30,31,24,0,0
일요일,외선순환,종합운동장,0,0,0,0,0,10,13,12,24,24,24,34,33,40,43,45,49,45,42,37,32,32,28,24,0,0
평일,내선순환,충정로,10,0,0,0,0,21,28,59,110,53,40,47,44,49,44,44,44,45,47,35,24,37,40,37,10,0
평일,외선순환,충정로,21,0,0,0,0,10,13,28,38,27,26,36,35,40,42,43,45,57,106,68,64,59,68,41,21,0
토요일,내선순환,충정로,0,0,0,0,0,28,22,23,36,36,46,48,64,66,60,55,58,56,46,34,36,42,58,55,0,0
토요일,외선순환,충정로,0,0,0,0,0,10,11,12,18,24,33,39,56,55,66,73,64,78,79,65,69,62,57,71,0,0
일요일,내선순환,충정로,0,0,0,0,0,26,15,17,32,35,35,43,53,50,49,45,52,43,41,35,31,35,34,33,0,0
일요일,외선순환,충정로,0,0,0,0,0,6,8,7,16,21,25,35,44,49,47,54,50,59,57,43,39,36,33,30,0,0
평일,내선순환,한양대,12,0,0,0,0,22,23,36,69,31,23,33,34,38,40,42,45,51,57,42,27,36,41,34,12,0
평일,외선순환,한양대,12,0,0,0,0,13,15,43,49,35,28,36,34,35,35,37,36,40,62,47,44,39,48,26,12,0
토요일,내선순환,한양대,0,0,0,0,0,19,19,17,26,26,28,41,47,46,46,51,50,50,51,34,35,38,43,39,0,0
토요일,외선순환,한양대,0,0,0,0,0,14,11,14,23,29,37,54,53,50,55,59,42,47,56,38,35,35,36,42,0,0
일요일,내선순환,한양대,0,0,0,0,0,14,12,10,19,24,21,36,33,36,39,48,46,46,59,36,29,28,28,24,0,0
일요일,외선순환,한양대,0,0,0,0,0,9,8,9,19,25,24,56,44,41,39,55,35,41,52,31,28,28,26,27,0,0
평일,내선순환,합정,10,0,0,0,0,25,31,64,114,69,55,53,55,53,46,39,43,45,56,43,26,30,29,27,10,0
평일,외선순환,합정,28,0,0,0,0,23,35,64,82,31,29,36,38,46,45,50,58,70,108,79,73,86,106,73,28,0
토요일,내선순환,합정,0,0,0,0,0,19,20,24,42,46,56,59,71,81,70,59,61,59,54,41,35,34,42,37,0,0
토요일,외선순환,합정,0,0,0,0,0,42,23,23,27,30,43,44,59,57,67,70,67,78,72,60,74,84,95,118,0,0
일요일,내선순환,합정,0,0,0,0,0,12,11,17,35,39,45,49,59,63,58,56,50,50,47,34,26,24,24,23,0,0
일요일,외선순환,합정,0,0,0,0,0,46,22,14,21,31,36,37,46,48,47,57,62,71,68,59,56,62,61,49,0,0
평일,내선순환,홍대입구,10,0,0,0,0,21,29,66,117,66,54,53,51,50,45,38,39,40,48,34,23,32,34,32,10,0
평일,외선순환,홍대입구,25,0,0,0,0,19,21,38,47,21,21,30,31,39,40,45,51,60,96,68,68,75,92,60,25,0
토요일,내선순환,홍대입구,0,0,0,0,0,23,21,24,41,45,55,55,64,72,62,53,54,52,45,36,33,37,52,53,0,0
토요일,외선순환,홍대입구,0,0,0,0,0,32,17,16,17,21,30,35,46,49,56,63,59,72,66,56,68,74,85,104,0,0
일요일,내선순환,홍대입구,0,0,0,0,0,21,14,19,36,38,43,47,51,56,50,46,44,43,42,34,29,32,32,32,0,0
일요일,외선순환,홍대입구,0,0,0,0,0,39,18,10,14,21,26,29,36,39,41,48,54,62,57,50,48,52,53,43,0,0
